href,title,valor_monetario
/eskisehirspor/kader/verein/825/saison_id/2015,Eskisehirspor,€ 38.58 mi.
/gaziantepspor/kader/verein/524/saison_id/2015,Gaziantepspor,€ 38.30 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2015,Genclerbirligi Ankara,€ 37.35 mi.
/caykur-rizespor/kader/verein/126/saison_id/2015,Caykur Rizespor,€ 36.65 mi.
/konyaspor/kader/verein/2293/saison_id/2015,Konyaspor,€ 36.05 mi.
/akhisar-belediyespor/kader/verein/19771/saison_id/2015,Akhisar Belediyespor,€ 34.75 mi.
/sivasspor/kader/verein/2381/saison_id/2015,Sivasspor,€ 32.05 mi.
/mersin-idmanyurdu/kader/verein/3216/saison_id/2015,Mersin Idmanyurdu,€ 21.68 mi.
/besiktas-jk/kader/verein/114/saison_id/2016,Besiktas JK,€ 136.80 mi.
/fenerbahce/kader/verein/36/saison_id/2016,Fenerbahce,€ 103.95 mi.
/galatasaray/kader/verein/141/saison_id/2016,Galatasaray,€ 88.35 mi.
/basaksehir-fk/kader/verein/6890/saison_id/2016,Basaksehir FK,€ 60.00 mi.
/trabzonspor/kader/verein/449/saison_id/2016,Trabzonspor,€ 59.85 mi.
/osmanlispor-fk/kader/verein/2944/saison_id/2016,Osmanlispor FK,€ 48.30 mi.
/bursaspor/kader/verein/20/saison_id/2016,Bursaspor,€ 35.70 mi.
/genclerbirligi-ankara/kader/verein/820/saison_id/2016,Genclerbirligi Ankara,€ 34.78 mi.
/kayserispor/kader/verein/3205/saison_id/2016,Kayserispor,€ 34.35 mi.
