,href,title,valor_monetario,nome_time,id_time,temporada
312,/aston-villa-fc/kader/verein/405/saison_id/2019,Aston Villa FC,€ 231.70 mi.,aston-villa-fc,405,19/20
313,/fc-southampton/kader/verein/180/saison_id/2019,FC Southampton,€ 210.75 mi.,fc-southampton,180,19/20
314,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2019,Brighton & Hove Albion,€ 200.78 mi.,brighton-amp-hove-albion,1237,19/20
315,/fc-watford/kader/verein/1010/saison_id/2019,FC Watford,€ 199.60 mi.,fc-watford,1010,19/20
316,/crystal-palace-fc/kader/verein/873/saison_id/2019,Crystal Palace FC,€ 189.33 mi.,crystal-palace-fc,873,19/20
317,/fc-burnley/kader/verein/1132/saison_id/2019,FC Burnley,€ 163.88 mi.,fc-burnley,1132,19/20
318,/norwich-city/kader/verein/1123/saison_id/2019,Norwich City,€ 145.33 mi.,norwich-city,1123,19/20
319,/sheffield-united/kader/verein/350/saison_id/2019,Sheffield United,€ 138.60 mi.,sheffield-united,350,19/20
320,/manchester-city-fc/kader/verein/281/saison_id/2020,Manchester City FC,€ 1.04 bilhões,manchester-city-fc,281,20/21
321,/fc-liverpool/kader/verein/31/saison_id/2020,FC Liverpool,€ 969.65 mi.,fc-liverpool,31,20/21
322,/chelsea-fc/kader/verein/631/saison_id/2020,Chelsea FC,€ 889.20 mi.,chelsea-fc,631,20/21
323,/manchester-united-fc/kader/verein/985/saison_id/2020,Manchester United FC,€ 770.05 mi.,manchester-united-fc,985,20/21
324,/tottenham-hotspur/kader/verein/148/saison_id/2020,Tottenham Hotspur,€ 703.50 mi.,tottenham-hotspur,148,20/21
325,/fc-arsenal/kader/verein/11/saison_id/2020,FC Arsenal,€ 619.25 mi.,fc-arsenal,11,20/21
326,/fc-everton/kader/verein/29/saison_id/2020,FC Everton,€ 511.20 mi.,fc-everton,29,20/21
327,/leicester-city-fc/kader/verein/1003/saison_id/2020,Leicester City FC,€ 510.60 mi.,leicester-city-fc,1003,20/21
328,/wolverhampton-wanderers/kader/verein/543/saison_id/2020,Wolverhampton Wanderers,€ 450.30 mi.,wolverhampton-wanderers,543,20/21
329,/aston-villa-fc/kader/verein/405/saison_id/2020,Aston Villa FC,€ 430.70 mi.,aston-villa-fc,405,20/21
330,/west-ham-united/kader/verein/379/saison_id/2020,West Ham United,€ 334.90 mi.,west-ham-united,379,20/21
331,/brighton-amp-hove-albion/kader/verein/1237/saison_id/2020,Brighton & Hove Albion,€ 290.40 mi.,brighton-amp-hove-albion,1237,20/21
332,/fc-southampton/kader/verein/180/saison_id/2020,FC Southampton,€ 282.80 mi.,fc-southampton,180,20/21
333,/newcastle-united/kader/verein/762/saison_id/2020,Newcastle United,€ 255.35 mi.,newcastle-united,762,20/21
